"RelativePath","Hash","Size","Modified"
"reports\template_load_20260208_215333.log","fa929d837df304f92df9a7bef2ac745977ccf923","650","2026-02-08T21:53:33.4433381-06:00"
"reports\template_load_20260208_214456.log","4c5ffc8453dd67b5fa95d8ad34d90a600d6d66cf","650","2026-02-08T21:44:56.7636337-06:00"
"reports\template_load_20260208_212847.log","1e6fcbd902a5615f8b37f75dc3e0c75830a99fb8","650","2026-02-08T21:28:48.4829943-06:00"
"reports\template_load_20260208_212016.log","c91ef24fdb2de0d0fdfd416b368cd5e959dd9482","650","2026-02-08T21:20:16.7892121-06:00"
"reports\template_load_20260208_211757.log","6ab10cf7c59ef6fb18567139213c277e53461dd0","586","2026-02-08T21:17:57.6885138-06:00"
"reports\template_load_20260208_211711.log","08c1c2a58a783e8e479eb1f0cba58bd1ae7fdc91","586","2026-02-08T21:17:12.0290971-06:00"
"reports\template_load_20260208_211558.log","6a15523be5069f8e76d326642cc53d8ccf579e3b","586","2026-02-08T21:15:58.4268349-06:00"
"reports\template_load_20260208_211538.log","722f15b4de52434d4f7fe52a84439846e6e99638","586","2026-02-08T21:15:38.7520432-06:00"
"reports\neural_router_smoke.md","ca2002f0267224058537825119646b1d9f4c62b7","2108","2026-02-08T21:17:12.9008475-06:00"
"reports\neural_router_smoke.json","46b6ffb5a84bb67bbccdfd9f0d78d4219a48d59b","4964","2026-02-08T21:17:12.8993271-06:00"
"reports\neural_router_smoke_manifest.json","2fe7c8ae1157f740cba342e36b65420a5add00df","1968","2026-02-08T21:17:12.9018635-06:00"
"reports\neural_router_prompt.txt","7bcf203fbc0b3cdccf9f58d0cf2b1b9fa3d5646d","1277","2026-02-08T21:17:12.9003366-06:00"
"reports\memory_injection_smoke.md","379a9edb2ef9c8e91e42cf30a987220432864501","1356","2026-02-08T21:53:08.2464222-06:00"
"reports\memory_injection_smoke.json","c093ae25860402ac35f998ab816c0c48b39fca20","3352","2026-02-08T21:53:08.2459086-06:00"
"reports\memory_injection_smoke_manifest.json","671178eca13c3bb27217570ffd89c3329b02c3b3","2110","2026-02-08T21:53:08.2479479-06:00"
"reports\integrated_system_smoke.md","cc810f08dc89b7b7f503777072672c1a9953fd6e","1849","2026-02-08T21:53:34.1248681-06:00"
"reports\integrated_system_smoke.json","e450fe2e5c5b320c42343d377d48a972409b1660","4089","2026-02-08T21:53:34.1233255-06:00"
"reports\integrated_system_smoke_manifest.json","b495cebaf0b53fb53f58c24351bed9532996bb9f","2442","2026-02-08T21:53:34.1260605-06:00"
"prompt_templates\tool_manifest.jinja2","f816339dac84acde5dd6ccdc8b6983d615fe6363","549","2026-02-08T18:54:13.1377680-06:00"
"prompt_templates\tool_list.md","ba54bdd0b432bb49ffcdfbc7c0ad5fd8e9a03323","100","2025-11-08T19:44:29.0461409-06:00"
"prompt_templates\tokenizer_profile.jinja2","ea8944e09bb3de92846bdc86ca20a7dc219958c7","583","2026-02-08T19:32:36.8417127-06:00"
"prompt_templates\system_prompt.md","ba34899633e78b3feb82ff224fda0df2c25db72d","889","2026-02-08T18:53:43.4990001-06:00"
"prompt_templates\system_prompt.jinja2","ba34899633e78b3feb82ff224fda0df2c25db72d","889","2026-02-08T21:03:39.9055302-06:00"
"prompt_templates\reference_appendix.jinja2","74168098515af2e2ab27442c05f5af412c7fa525","227","2026-02-08T18:54:26.1129186-06:00"
"prompt_templates\og_jinja2_template.jinja2","d37042c7f8dffdafb102f55e037bfdede6be9161","515","2026-02-08T18:54:31.7946974-06:00"
"prompt_templates\offline_reasoning_agent.md","98a205646dd67994f0c54e963f5e87dbaa5702ac","22098","2026-02-08T21:15:12.7280076-06:00"
"prompt_templates\message_metadata.md","532da7533a6b041b9c5385d6dc4fa66d75fabe39","516","2026-02-08T18:54:06.5483415-06:00"
"prompt_templates\jinja2_template.md","ba34899633e78b3feb82ff224fda0df2c25db72d","889","2026-02-08T18:53:56.1675815-06:00"
"prompt_templates\channel_format.jinja2","25778c8425964814f4f753585c80476a8905a010","482","2026-02-08T18:54:18.4180520-06:00"
"output\neural_router_smoke.md","ca2002f0267224058537825119646b1d9f4c62b7","2108","2026-02-08T21:17:12.9101051-06:00"
"output\neural_router_smoke.json","46b6ffb5a84bb67bbccdfd9f0d78d4219a48d59b","4964","2026-02-08T21:17:12.9080664-06:00"
"output\neural_router_smoke_manifest.json","1ca81021ccfb2e9414976408b30af1f2f0be0da7","1965","2026-02-08T21:17:12.9111214-06:00"
"output\neural_router_prompt.txt","7bcf203fbc0b3cdccf9f58d0cf2b1b9fa3d5646d","1277","2026-02-08T21:17:12.9095896-06:00"
"output\memory_injection_smoke.md","379a9edb2ef9c8e91e42cf30a987220432864501","1356","2026-02-08T21:53:08.2507732-06:00"
"output\memory_injection_smoke.json","c093ae25860402ac35f998ab816c0c48b39fca20","3352","2026-02-08T21:53:08.2497060-06:00"
"output\memory_injection_smoke_manifest.json","3897c1bf202e97e3d3afc7f1c6235dc3985f2856","2108","2026-02-08T21:53:08.2513895-06:00"
"output\integrated_system_smoke.md","cc810f08dc89b7b7f503777072672c1a9953fd6e","1849","2026-02-08T21:53:34.1290247-06:00"
"output\integrated_system_smoke.json","e450fe2e5c5b320c42343d377d48a972409b1660","4089","2026-02-08T21:53:34.1284134-06:00"
"output\integrated_system_smoke_manifest.json","17a768f8a461b5459df84e675df2482938047e65","2440","2026-02-08T21:53:34.1305496-06:00"
"output\generated_system_prompt_20260208_214456.txt","c650e8384470463eec09b3515a6689a0f595bf49","22717","2026-02-08T21:44:56.7928598-06:00"
"docs\USAGE_GUIDE.md","4e4910b172948e5e5f9c8e705f22e0cc8a22575e","25683","2026-02-08T21:50:41.5893632-06:00"
"docs\RELEASE_CHECKLIST.md","30a13fa2ab3d90232323568836716d5ff0e156ea","1814","2026-02-08T17:58:37.3795568-06:00"
"docs\PROVENANCE.md","33b38ad270a78f73f0ff16f4a0ea0b7081db5af9","1899","2026-02-08T18:03:59.9351269-06:00"
